CPUOperator,Score
CoalesceExec,2.73
CollectLimitExec,2.73
ExpandExec,2.73
FileSourceScanExec,2.73
FilterExec,3.14
GenerateExec,2.73
GlobalLimitExec,2.73
LocalLimitExec,2.73
ProjectExec,2.73
RangeExec,2.73
SampleExec,2.73
SortExec,13.11
SubqueryBroadcastExec,2.73
TakeOrderedAndProjectExec,2.73
UnionExec,2.73
CustomShuffleReaderExec,2.73
HashAggregateExec,2.76
ObjectHashAggregateExec,2.73
SortAggregateExec,2.73
InMemoryTableScanExec,2.73
DataWritingCommandExec,2.73
ExecutedCommandExec,2.73
BatchScanExec,2.73
BroadcastExchangeExec,2.73
ShuffleExchangeExec,4.07
BroadcastHashJoinExec,3.03
BroadcastNestedLoopJoinExec,2.73
CartesianProductExec,2.73
ShuffledHashJoinExec,2.73
SortMergeJoinExec,36.13
FlatMapCoGroupsInPandasExec,2.73
WindowExec,2.73
HiveTableScanExec,2.73
Abs,2.73
Acos,2.73
Acosh,2.73
Add,2.73
AggregateExpression,2.73
Alias,2.73
And,2.73
ApproximatePercentile,2.73
ArrayContains,2.73
ArrayExcept,2.73
ArrayExists,2.73
ArrayIntersect,2.73
ArrayMax,2.73
ArrayMin,2.73
ArrayRemove,2.73
ArrayRepeat,2.73
ArrayTransform,2.73
ArrayUnion,2.73
ArraysOverlap,2.73
ArraysZip,2.73
Asin,2.73
Asinh,2.73
AtLeastNNonNulls,2.73
Atan,2.73
Atanh,2.73
AttributeReference,2.73
Average,2.73
BRound,2.73
BitLength,2.73
BitwiseAnd,2.73
BitwiseNot,2.73
BitwiseOr,2.73
BitwiseXor,2.73
CaseWhen,2.73
Cbrt,2.73
Ceil,2.73
CheckOverflow,2.73
Coalesce,2.73
CollectList,2.73
CollectSet,2.73
Concat,2.73
ConcatWs,2.73
Contains,2.73
Conv,2.73
Cos,2.73
Cosh,2.73
Cot,2.73
Count,2.73
CreateArray,2.73
CreateMap,2.73
CreateNamedStruct,2.73
CurrentRow$,2.73
DateAdd,2.73
DateAddInterval,2.73
DateDiff,2.73
DateFormatClass,2.73
DateSub,2.73
DayOfMonth,2.73
DayOfWeek,2.73
DayOfYear,2.73
DenseRank,2.73
Divide,2.73
DynamicPruningExpression,2.73
ElementAt,2.73
EndsWith,2.73
EqualNullSafe,2.73
EqualTo,2.73
Exp,2.73
Explode,2.73
Expm1,2.73
First,2.73
Flatten,2.73
Floor,2.73
FormatNumber,2.73
FromUTCTimestamp,2.73
FromUnixTime,2.73
GetArrayItem,2.73
GetArrayStructFields,2.73
GetJsonObject,2.73
GetMapValue,2.73
GetStructField,2.73
GetTimestamp,2.73
GreaterThan,2.73
GreaterThanOrEqual,2.73
Greatest,2.73
HiveGenericUDF,2.73
HiveSimpleUDF,2.73
Hour,2.73
Hypot,2.73
If,2.73
In,2.73
InSet,2.73
InitCap,2.73
InputFileBlockLength,2.73
InputFileBlockStart,2.73
InputFileName,2.73
IntegralDivide,2.73
IsNaN,2.73
IsNotNull,2.73
IsNull,2.73
JsonToStructs,2.73
JsonTuple,2.73
KnownFloatingPointNormalized,2.73
KnownNotNull,2.73
Lag,2.73
LambdaFunction,2.73
Last,2.73
LastDay,2.73
Lead,2.73
Least,2.73
Length,2.73
LessThan,2.73
LessThanOrEqual,2.73
Like,2.73
Literal,2.73
Log,2.73
Log10,2.73
Log1p,2.73
Log2,2.73
Logarithm,2.73
Lower,2.73
MakeDecimal,2.73
MapConcat,2.73
MapEntries,2.73
MapFilter,2.73
MapKeys,2.73
MapValues,2.73
Max,2.73
Md5,2.73
MicrosToTimestamp,2.73
MillisToTimestamp,2.73
Min,2.73
Minute,2.73
MonotonicallyIncreasingID,2.73
Month,2.73
Multiply,2.73
Murmur3Hash,2.73
NaNvl,2.73
NamedLambdaVariable,2.73
NormalizeNaNAndZero,2.73
Not,2.73
NthValue,2.73
OctetLength,2.73
Or,2.73
ParseUrl,2.73
Percentile,2.73
PercentRank,2.73
PivotFirst,2.73
Pmod,2.73
PosExplode,2.73
Pow,2.73
PreciseTimestampConversion,2.73
PromotePrecision,2.73
PythonUDF,2.73
Quarter,2.73
RLike,2.73
RaiseError,2.73
Rand,2.73
Rank,2.73
RegExpExtract,2.73
RegExpExtractAll,2.73
RegExpReplace,2.73
Remainder,2.73
ReplicateRows,2.73
Reverse,2.73
Rint,2.73
Round,2.73
RowNumber,2.73
ScalaUDF,2.73
ScalarSubquery,2.73
Second,2.73
SecondsToTimestamp,2.73
Sequence,2.73
ShiftLeft,2.73
ShiftRight,2.73
ShiftRightUnsigned,2.73
Signum,2.73
Sin,2.73
Sinh,2.73
Size,2.73
SortArray,2.73
SortOrder,2.73
SparkPartitionID,2.73
SpecifiedWindowFrame,2.73
Sqrt,2.73
Stack,2.73
StartsWith,2.73
StddevPop,2.73
StddevSamp,2.73
StringInstr,2.73
StringLPad,2.73
StringLocate,2.73
StringRPad,2.73
StringRepeat,2.73
StringReplace,2.73
StringSplit,2.73
StringToMap,2.73
StringTranslate,2.73
StringTrim,2.73
StringTrimLeft,2.73
StringTrimRight,2.73
StructsToJson,2.73
Substring,2.73
SubstringIndex,2.73
Subtract,2.73
Sum,2.73
Tan,2.73
Tanh,2.73
TimeAdd,2.73
ToDegrees,2.73
ToRadians,2.73
ToUnixTimestamp,2.73
TransformKeys,2.73
TransformValues,2.73
UnaryMinus,2.73
UnaryPositive,2.73
UnboundedFollowing$,2.73
UnboundedPreceding$,2.73
UnixTimestamp,2.73
UnscaledValue,2.73
Upper,2.73
VariancePop,2.73
VarianceSamp,2.73
WeekDay,2.73
WindowExpression,2.73
WindowSpecDefinition,2.73
XxHash64,2.73
Year,2.73
WriteFilesExec,2.73
AggregateInPandasExec,1.2
ArrowEvalPythonExec,1.2
FlatMapGroupsInPandasExec,1.2
MapInPandasExec,1.2
WindowInPandasExec,1.2
