CPUOperator,Score
CoalesceExec,4.25
CollectLimitExec,4.25
ExpandExec,7.76
FileSourceScanExec,3.64
FilterExec,4.47
GenerateExec,4.25
GlobalLimitExec,4.25
LocalLimitExec,4.25
ProjectExec,4.25
RangeExec,4.25
SampleExec,4.25
SortExec,4.25
TakeOrderedAndProjectExec,20.96
HashAggregateExec,5.54
ObjectHashAggregateExec,5.54
SortAggregateExec,5.54
DataWritingCommandExec,4.25
AtomicReplaceTableAsSelectExec,4.25
AtomicCreateTableAsSelectExec,4.25
OverwriteByExpressionExecV1,4.25
AppendDataExecV1,4.25
ExecutedCommandExec,4.25
BatchScanExec,3.64
ShuffleExchangeExec,5.21
BroadcastHashJoinExec,6.42
BroadcastNestedLoopJoinExec,17.46
CartesianProductExec,4.25
ShuffledHashJoinExec,4.25
SortMergeJoinExec,7.4
WindowExec,4.25
WindowGroupLimitExec,4.25
Abs,4.25
Acos,4.25
Acosh,4.25
Add,4.25
AggregateExpression,4.25
Alias,4.25
And,4.25
ApproximatePercentile,4.25
ArrayContains,4.25
ArrayExcept,4.25
ArrayExists,4.25
ArrayIntersect,4.25
ArrayMax,4.25
ArrayMin,4.25
ArrayRemove,4.25
ArrayRepeat,4.25
ArrayTransform,4.25
ArrayUnion,4.25
ArraysOverlap,4.25
ArraysZip,4.25
Asin,4.25
Asinh,4.25
AtLeastNNonNulls,4.25
Atan,4.25
Atanh,4.25
AttributeReference,4.25
Average,4.25
BRound,4.25
BitLength,4.25
BitwiseAnd,4.25
BitwiseNot,4.25
BitwiseOr,4.25
BitwiseXor,4.25
CaseWhen,4.25
Cbrt,4.25
Ceil,4.25
CheckOverflow,4.25
Coalesce,4.25
CollectList,4.25
CollectSet,4.25
Concat,4.25
ConcatWs,4.25
Contains,4.25
Conv,4.25
Cos,4.25
Cosh,4.25
Cot,4.25
Count,4.25
CreateArray,4.25
CreateMap,4.25
CreateNamedStruct,4.25
CurrentRow$,4.25
DateAdd,4.25
DateAddInterval,4.25
DateDiff,4.25
DateFormatClass,4.25
DateSub,4.25
DayOfMonth,4.25
DayOfWeek,4.25
DayOfYear,4.25
DenseRank,4.25
Divide,4.25
DynamicPruningExpression,4.25
ElementAt,4.25
EndsWith,4.25
EqualNullSafe,4.25
EqualTo,4.25
Exp,4.25
Explode,4.25
Expm1,4.25
First,4.25
Flatten,4.25
Floor,4.25
FormatNumber,4.25
FromUTCTimestamp,4.25
FromUnixTime,4.25
GetArrayItem,4.25
GetArrayStructFields,4.25
GetJsonObject,4.25
GetMapValue,4.25
GetStructField,4.25
GetTimestamp,4.25
GreaterThan,4.25
GreaterThanOrEqual,4.25
Greatest,4.25
HiveGenericUDF,4.25
HiveSimpleUDF,4.25
Hour,4.25
Hypot,4.25
If,4.25
In,4.25
InSet,4.25
InitCap,4.25
InputFileBlockLength,4.25
InputFileBlockStart,4.25
InputFileName,4.25
IntegralDivide,4.25
IsNaN,4.25
IsNotNull,4.25
IsNull,4.25
JsonToStructs,4.25
JsonTuple,4.25
KnownFloatingPointNormalized,4.25
KnownNotNull,4.25
Lag,4.25
LambdaFunction,4.25
Last,4.25
LastDay,4.25
Lead,4.25
Least,4.25
Length,4.25
LessThan,4.25
LessThanOrEqual,4.25
Like,4.25
Literal,4.25
Log,4.25
Log10,4.25
Log1p,4.25
Log2,4.25
Logarithm,4.25
Lower,4.25
MakeDecimal,4.25
MapConcat,4.25
MapEntries,4.25
MapFilter,4.25
MapKeys,4.25
MapValues,4.25
Max,4.25
Md5,4.25
MicrosToTimestamp,4.25
