CPUOperator,Score
CoalesceExec,4.88
CollectLimitExec,4.88
ExpandExec,4.88
FileSourceScanExec,4.88
FilterExec,3.76
GenerateExec,4.88
GlobalLimitExec,4.88
LocalLimitExec,4.88
ProjectExec,4.88
RangeExec,4.88
SampleExec,4.88
SortExec,18.9
SubqueryBroadcastExec,4.88
TakeOrderedAndProjectExec,4.88
UnionExec,4.88
CustomShuffleReaderExec,4.88
HashAggregateExec,8.13
ObjectHashAggregateExec,4.88
SortAggregateExec,4.88
InMemoryTableScanExec,4.88
DataWritingCommandExec,4.88
ExecutedCommandExec,4.88
BatchScanExec,4.88
BroadcastExchangeExec,4.88
ShuffleExchangeExec,6.26
BroadcastHashJoinExec,7.8
BroadcastNestedLoopJoinExec,4.88
CartesianProductExec,4.88
ShuffledHashJoinExec,4.88
SortMergeJoinExec,52.97
FlatMapCoGroupsInPandasExec,4.88
WindowExec,4.88
HiveTableScanExec,4.88
Abs,4.88
Acos,4.88
Acosh,4.88
Add,4.88
AggregateExpression,4.88
Alias,4.88
And,4.88
ApproximatePercentile,4.88
ArrayContains,4.88
ArrayExcept,4.88
ArrayExists,4.88
ArrayIntersect,4.88
ArrayMax,4.88
ArrayMin,4.88
ArrayRemove,4.88
ArrayRepeat,4.88
ArrayTransform,4.88
ArrayUnion,4.88
ArraysOverlap,4.88
ArraysZip,4.88
Asin,4.88
Asinh,4.88
AtLeastNNonNulls,4.88
Atan,4.88
Atanh,4.88
AttributeReference,4.88
Average,4.88
BRound,4.88
BitLength,4.88
BitwiseAnd,4.88
BitwiseNot,4.88
BitwiseOr,4.88
BitwiseXor,4.88
CaseWhen,4.88
Cbrt,4.88
Ceil,4.88
CheckOverflow,4.88
Coalesce,4.88
CollectList,4.88
CollectSet,4.88
Concat,4.88
ConcatWs,4.88
Contains,4.88
Cos,4.88
Cosh,4.88
Cot,4.88
Count,4.88
CreateArray,4.88
CreateMap,4.88
CreateNamedStruct,4.88
CurrentRow$,4.88
DateAdd,4.88
DateAddInterval,4.88
DateDiff,4.88
DateFormatClass,4.88
DateSub,4.88
DayOfMonth,4.88
DayOfWeek,4.88
DayOfYear,4.88
DenseRank,4.88
Divide,4.88
ElementAt,4.88
EndsWith,4.88
EqualNullSafe,4.88
EqualTo,4.88
Exp,4.88
Explode,4.88
Expm1,4.88
First,4.88
Floor,4.88
FromUTCTimestamp,4.88
FromUnixTime,4.88
GetArrayItem,4.88
GetArrayStructFields,4.88
GetJsonObject,4.88
GetMapValue,4.88
GetStructField,4.88
GetTimestamp,4.88
GreaterThan,4.88
GreaterThanOrEqual,4.88
Greatest,4.88
HiveGenericUDF,4.88
HiveSimpleUDF,4.88
Hour,4.88
Hypot,4.88
If,4.88
In,4.88
InSet,4.88
InitCap,4.88
InputFileBlockLength,4.88
InputFileBlockStart,4.88
InputFileName,4.88
IntegralDivide,4.88
IsNaN,4.88
IsNotNull,4.88
IsNull,4.88
KnownFloatingPointNormalized,4.88
KnownNotNull,4.88
Lag,4.88
LambdaFunction,4.88
Last,4.88
LastDay,4.88
Lead,4.88
Least,4.88
Length,4.88
LessThan,4.88
LessThanOrEqual,4.88
Like,4.88
Literal,4.88
Log,4.88
Log10,4.88
Log1p,4.88
Log2,4.88
Logarithm,4.88
Lower,4.88
MakeDecimal,4.88
MapConcat,4.88
MapEntries,4.88
MapFilter,4.88
MapKeys,4.88
MapValues,4.88
Max,4.88
Md5,4.88
Min,4.88
Minute,4.88
MonotonicallyIncreasingID,4.88
Month,4.88
Multiply,4.88
Murmur3Hash,4.88
NaNvl,4.88
NamedLambdaVariable,4.88
NormalizeNaNAndZero,4.88
Not,4.88
NthValue,4.88
OctetLength,4.88
Or,4.88
PercentRank,4.88
PivotFirst,4.88
Pmod,4.88
PosExplode,4.88
Pow,4.88
PreciseTimestampConversion,4.88
PromotePrecision,4.88
PythonUDF,4.88
Quarter,4.88
RLike,4.88
RaiseError,4.88
Rand,4.88
Rank,4.88
RegExpExtract,4.88
RegExpExtractAll,4.88
RegExpReplace,4.88
Remainder,4.88
ReplicateRows,4.88
Reverse,4.88
Rint,4.88
Round,4.88
RowNumber,4.88
ScalaUDF,4.88
ScalarSubquery,4.88
Second,4.88
Sequence,4.88
ShiftLeft,4.88
ShiftRight,4.88
ShiftRightUnsigned,4.88
Signum,4.88
Sin,4.88
Sinh,4.88
Size,4.88
SortArray,4.88
SortOrder,4.88
SparkPartitionID,4.88
SpecifiedWindowFrame,4.88
Sqrt,4.88
StartsWith,4.88
StddevPop,4.88
StddevSamp,4.88
StringInstr,4.88
StringLPad,4.88
StringLocate,4.88
StringRPad,4.88
StringRepeat,4.88
StringReplace,4.88
StringSplit,4.88
StringToMap,4.88
StringTranslate,4.88
StringTrim,4.88
StringTrimLeft,4.88
StringTrimRight,4.88
Substring,4.88
SubstringIndex,4.88
Subtract,4.88
Sum,4.88
Tan,4.88
Tanh,4.88
TimeAdd,4.88
ToDegrees,4.88
ToRadians,4.88
ToUnixTimestamp,4.88
TransformKeys,4.88
TransformValues,4.88
UnaryMinus,4.88
UnaryPositive,4.88
UnboundedFollowing$,4.88
UnboundedPreceding$,4.88
UnixTimestamp,4.88
UnscaledValue,4.88
Upper,4.88
VariancePop,4.88
VarianceSamp,4.88
WeekDay,4.88
WindowExpression,4.88
WindowSpecDefinition,4.88
Year,4.88
AggregateInPandasExec,1.2
ArrowEvalPythonExec,1.2
FlatMapGroupsInPandasExec,1.2
MapInPandasExec,1.2
WindowInPandasExec,1.2
