CPUOperator,Score
CoalesceExec,2.07
CollectLimitExec,2.07
ExpandExec,2.07
FileSourceScanExec,2.07
FilterExec,3.51
GenerateExec,2.07
GlobalLimitExec,2.07
LocalLimitExec,2.07
ProjectExec,2.07
RangeExec,2.07
SampleExec,2.07
SortExec,3.75
SubqueryBroadcastExec,2.07
TakeOrderedAndProjectExec,2.07
UnionExec,2.07
CustomShuffleReaderExec,2.07
HashAggregateExec,3.75
ObjectHashAggregateExec,2.07
SortAggregateExec,2.07
InMemoryTableScanExec,2.07
DataWritingCommandExec,2.07
ExecutedCommandExec,2.07
BatchScanExec,2.07
BroadcastExchangeExec,2.07
ShuffleExchangeExec,2.51
BroadcastHashJoinExec,2.12
BroadcastNestedLoopJoinExec,2.07
CartesianProductExec,2.07
ShuffledHashJoinExec,2.07
SortMergeJoinExec,14.16
FlatMapCoGroupsInPandasExec,2.07
WindowExec,2.07
HiveTableScanExec,2.07
Abs,2.07
Acos,2.07
Acosh,2.07
Add,2.07
AggregateExpression,2.07
Alias,2.07
And,2.07
ApproximatePercentile,2.07
ArrayContains,2.07
ArrayExcept,2.07
ArrayExists,2.07
ArrayIntersect,2.07
ArrayMax,2.07
ArrayMin,2.07
ArrayRemove,2.07
ArrayRepeat,2.07
ArrayTransform,2.07
ArrayUnion,2.07
ArraysOverlap,2.07
ArraysZip,2.07
Asin,2.07
Asinh,2.07
AtLeastNNonNulls,2.07
Atan,2.07
Atanh,2.07
AttributeReference,2.07
Average,2.07
BRound,2.07
BitLength,2.07
BitwiseAnd,2.07
BitwiseNot,2.07
BitwiseOr,2.07
BitwiseXor,2.07
CaseWhen,2.07
Cbrt,2.07
Ceil,2.07
CheckOverflow,2.07
Coalesce,2.07
CollectList,2.07
CollectSet,2.07
Concat,2.07
ConcatWs,2.07
Contains,2.07
Cos,2.07
Cosh,2.07
Cot,2.07
Count,2.07
CreateArray,2.07
CreateMap,2.07
CreateNamedStruct,2.07
CurrentRow$,2.07
DateAdd,2.07
DateAddInterval,2.07
DateDiff,2.07
DateFormatClass,2.07
DateSub,2.07
DayOfMonth,2.07
DayOfWeek,2.07
DayOfYear,2.07
DenseRank,2.07
Divide,2.07
ElementAt,2.07
EndsWith,2.07
EqualNullSafe,2.07
EqualTo,2.07
Exp,2.07
Explode,2.07
Expm1,2.07
First,2.07
Floor,2.07
FromUTCTimestamp,2.07
FromUnixTime,2.07
GetArrayItem,2.07
GetArrayStructFields,2.07
GetJsonObject,2.07
GetMapValue,2.07
GetStructField,2.07
GetTimestamp,2.07
GreaterThan,2.07
GreaterThanOrEqual,2.07
Greatest,2.07
HiveGenericUDF,2.07
HiveSimpleUDF,2.07
Hour,2.07
Hypot,2.07
If,2.07
In,2.07
InSet,2.07
InitCap,2.07
InputFileBlockLength,2.07
InputFileBlockStart,2.07
InputFileName,2.07
IntegralDivide,2.07
IsNaN,2.07
IsNotNull,2.07
IsNull,2.07
KnownFloatingPointNormalized,2.07
KnownNotNull,2.07
Lag,2.07
LambdaFunction,2.07
Last,2.07
LastDay,2.07
Lead,2.07
Least,2.07
Length,2.07
LessThan,2.07
LessThanOrEqual,2.07
Like,2.07
Literal,2.07
Log,2.07
Log10,2.07
Log1p,2.07
Log2,2.07
Logarithm,2.07
Lower,2.07
MakeDecimal,2.07
MapConcat,2.07
MapEntries,2.07
MapFilter,2.07
MapKeys,2.07
MapValues,2.07
Max,2.07
Md5,2.07
Min,2.07
Minute,2.07
MonotonicallyIncreasingID,2.07
Month,2.07
Multiply,2.07
Murmur3Hash,2.07
NaNvl,2.07
NamedLambdaVariable,2.07
NormalizeNaNAndZero,2.07
Not,2.07
NthValue,2.07
OctetLength,2.07
Or,2.07
PercentRank,2.07
PivotFirst,2.07
Pmod,2.07
PosExplode,2.07
Pow,2.07
PreciseTimestampConversion,2.07
PromotePrecision,2.07
PythonUDF,2.07
Quarter,2.07
RLike,2.07
RaiseError,2.07
Rand,2.07
Rank,2.07
RegExpExtract,2.07
RegExpExtractAll,2.07
RegExpReplace,2.07
Remainder,2.07
ReplicateRows,2.07
Reverse,2.07
Rint,2.07
Round,2.07
RowNumber,2.07
ScalaUDF,2.07
ScalarSubquery,2.07
Second,2.07
Sequence,2.07
ShiftLeft,2.07
ShiftRight,2.07
ShiftRightUnsigned,2.07
Signum,2.07
Sin,2.07
Sinh,2.07
Size,2.07
SortArray,2.07
SortOrder,2.07
SparkPartitionID,2.07
SpecifiedWindowFrame,2.07
Sqrt,2.07
StartsWith,2.07
StddevPop,2.07
StddevSamp,2.07
StringInstr,2.07
StringLPad,2.07
StringLocate,2.07
StringRPad,2.07
StringRepeat,2.07
StringReplace,2.07
StringSplit,2.07
StringToMap,2.07
StringTrim,2.07
StringTrimLeft,2.07
StringTrimRight,2.07
Substring,2.07
SubstringIndex,2.07
Subtract,2.07
Sum,2.07
Tan,2.07
Tanh,2.07
TimeAdd,2.07
ToDegrees,2.07
ToRadians,2.07
ToUnixTimestamp,2.07
TransformKeys,2.07
TransformValues,2.07
UnaryMinus,2.07
UnaryPositive,2.07
UnboundedFollowing$,2.07
UnboundedPreceding$,2.07
UnixTimestamp,2.07
UnscaledValue,2.07
Upper,2.07
VariancePop,2.07
VarianceSamp,2.07
WeekDay,2.07
WindowExpression,2.07
WindowSpecDefinition,2.07
Year,2.07
AggregateInPandasExec,1.2
ArrowEvalPythonExec,1.2
FlatMapGroupsInPandasExec,1.2
MapInPandasExec,1.2
WindowInPandasExec,1.2
